"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"GMFG",1093.9091390351,1.28833958518019,0.0590825375632317,21.8057591687117,2.04584455308103e-105,1.03597144720341e-102,"UP"
"LILRB2",626.504991675984,1.40084458993125,0.0746620194074843,18.7624792504718,1.53089454121215e-78,2.25849134835833e-76,"UP"
"CCL25",12.845857558236,1.20325953574177,0.160318070620444,7.50545170039194,6.12171398024442e-14,8.39037550357421e-13,"UP"
"NA.10",NA,NA,NA,NA,NA,NA,NA
"IDO1",1992.28902360693,1.19468794845841,0.1403437391767,8.51258456890787,1.70098618619844e-17,3.2420831317003e-16,"UP"
"G6PC",4.60200807440617,1.80312045228742,0.374376099500784,4.81633430844493,1.46219472078726e-06,6.27334103244104e-06,"UP"
"FCRLA",224.282137610064,1.70402881723208,0.131299497763718,12.978182295096,1.62696001159375e-38,6.85005006229674e-37,"UP"
"JCHAIN",24288.4701551,1.35451939936599,0.129637975662421,10.44847694084,1.4889712537559e-25,4.13907498670187e-24,"UP"
"CLEC10A",433.934142330039,1.86236734663172,0.0879756695279886,21.1691181962443,1.83967264611868e-99,6.50341635805277e-97,"UP"
"ATP1A4",9.30152823111849,1.0422942781504,0.134048915210692,7.77547715706743,7.51635422993732e-15,1.13295585560825e-13,"UP"
"ALOX5AP",2014.50088137575,1.23125542737863,0.0898022079609181,13.7107478238673,8.75507939768647e-43,4.23863482157761e-41,"UP"
"CHI3L1",8747.9212163579,1.06217668414057,0.143132369051885,7.42093972996096,1.16292230915939e-13,1.54418939648549e-12,"UP"
"MYBPH",168.356877379496,1.05888785239194,0.208216639518288,5.0855102399198,3.66639048733433e-07,1.78703153409719e-06,"UP"
"CHIT1",4035.40010936921,1.61316721705834,0.166453019894217,9.69142655437269,3.27916014737331e-22,8.05220766988026e-21,"UP"
"RXFP2",4.75833639104239,1.18282899597781,0.26160123203148,4.52149627428158,6.14040409331354e-06,2.32699456092885e-05,"UP"
"PRAM1",271.65199428696,1.21210492881676,0.0878930429472946,13.7906811298319,2.90008731115275e-43,1.4186954533096e-41,"UP"
"GIMAP6",1083.15034647827,1.22660585090855,0.0618101160562319,19.8447427245184,1.22353274283494e-87,2.46495800750058e-85,"UP"
"GIMAP4",1482.99718468648,1.32629905245287,0.0534735952627841,24.8028778677601,8.34637542550812e-136,4.42653515032143e-132,"UP"
"ADAMDEC1",627.415152202425,1.7020213950438,0.136807187336913,12.4410232252802,1.56486329957892e-35,5.95920300425013e-34,"UP"
"CD180",482.856726290338,1.23118202496286,0.0761142120168582,16.1754551789904,7.51403729220575e-59,5.94021108467371e-57,"UP"
"PTPN22",515.543507585992,1.14715127853305,0.0882126303719015,13.0043880756838,1.15519888492136e-38,4.89678875744039e-37,"UP"
"CD101",161.906164035033,1.04806986070584,0.0760775560525653,13.7763345076659,3.53784504481053e-43,1.72168999375507e-41,"UP"
"SAA2",193.685823749202,1.01967470007725,0.190288495339796,5.35857250989569,8.38820708107542e-08,4.61019207600555e-07,"UP"
"IL2RA",476.576516111118,1.52864904954283,0.090575635175632,16.8770447657218,6.63859052721471e-64,6.15745703553934e-62,"UP"
"DOCK2",1733.72413466785,1.39427876415999,0.0668481282690523,20.8574091790312,1.30554931212949e-96,3.76319567877817e-94,"UP"
"KLRD1",239.167563915068,1.68386047897976,0.0923370691561339,18.2360182575483,2.67230435041803e-74,3.25118794217093e-72,"UP"
"KLRC1",42.6067145911141,1.34508930322994,0.1273146152821,10.565081630648,4.32592147924468e-26,1.22063953064952e-24,"UP"
"RAB33A",53.5189060183374,1.11977253098855,0.0687586010646769,16.2855630226573,1.24973693413358e-59,1.0136394457977e-57,"UP"
"ADAMTS8",238.930582870607,1.25750247014588,0.143673420495557,8.75250596671615,2.08666485784632e-18,4.23114207539055e-17,"UP"
"HAVCR2",1250.22201631657,1.40671263046751,0.0674990607739585,20.8404771020196,1.85976145353072e-96,5.27946827171992e-94,"UP"
"TESPA1",203.482557626077,1.45871206536538,0.0728390417968667,20.0265136577912,3.23530165953176e-89,6.88825135147581e-87,"UP"
"AGAP2",263.218864294035,1.10628828065425,0.0644447416670754,17.1664631129935,4.73401704032244e-66,4.69293879722123e-64,"UP"
"KRT85",1.6300155721845,1.08328274893062,0.212613739584384,5.09507405799934,3.48604954524058e-07,1.70801841735428e-06,"UP"
"STX11",486.096781018069,1.25885374942644,0.0674059994218343,18.6756929683424,7.80701182323695e-78,1.10812252666794e-75,"UP"
"GPR55",30.4529167746789,1.09687262477206,0.0875593795031491,12.5271859051104,5.30104355054743e-36,2.06058821500118e-34,"UP"
"LCP1",9415.96943675943,1.27718933794349,0.0676020538472416,18.8927593949958,1.30825109634604e-79,2.07723665602876e-77,"UP"
"GPNMB",14480.5009254838,1.07060634732059,0.0945680770432552,11.321012130033,1.03272636247731e-29,3.30754891066236e-28,"UP"
"AOAH",598.243283475326,1.58913500695239,0.0721457562174159,22.0267288094317,1.59698156133718e-107,9.35032704162918e-105,"UP"
"NA.11",NA,NA,NA,NA,NA,NA,NA
"BLK",147.754224032285,1.59937247286054,0.136520524008635,11.7152529590303,1.06472971122729e-31,3.62705015810081e-30,"UP"
"IL10",37.978148481255,1.31089516507019,0.0903206479314333,14.5137927494204,9.90868415073127e-48,5.44425531519358e-46,"UP"
"SLC31A2",17.79576476384,1.01420369591136,0.0768339289591742,13.1999457746103,8.77982318314398e-40,3.87055922727966e-38,"UP"
"TLR4",1053.87398439507,1.23746981181882,0.070921015642103,17.4485630333273,3.53002046130079e-68,3.63398150345778e-66,"UP"
"WDR38",137.89440424035,1.02655489564228,0.203115668611616,5.05404089531463,4.32558923791026e-07,2.07539666994844e-06,"UP"
"HEMGN",2.26265703100821,1.30150324850424,0.155441873291354,8.37292565346763,5.62050677621281e-17,1.03139877530973e-15,"UP"
"CCL21",2310.60294612219,1.16165390852173,0.121406463673745,9.56830364191677,1.08674067306349e-21,2.60373059469535e-20,"UP"
"SIT1",210.054017024699,1.70421129295169,0.0813209443369598,20.9566097251669,1.63313067067328e-97,5.01612069602207e-95,"UP"
"CD72",286.493968884874,1.2467125125394,0.0698987373711653,17.8359804400945,3.71476051728696e-71,4.07016099718646e-69,"UP"
"IRF4",713.09505994486,1.36324500551123,0.111310838449871,12.2471901613172,1.73917790159144e-34,6.45252221073607e-33,"UP"
"SLCO2B1",4185.00084732312,1.30508818129421,0.0810103658854565,16.1101380919513,2.16539762923198e-58,1.66274139267583e-56,"UP"
"IL18BP",1162.16651594568,1.00763928704876,0.0633450042639272,15.9071626682733,5.65174138277299e-57,4.05137117690488e-55,"UP"
"CASP1",1257.55319198911,1.09353633382173,0.0661934058115824,16.5203213282974,2.61998505744777e-61,2.24146301535806e-59,"UP"
"CASP5",24.8102564869542,1.34162672231869,0.102621883872107,13.0734953569036,4.66707396623992e-39,2.01016776624072e-37,"UP"
"DNASE2B",30.5128287064032,1.48782422730872,0.14735200577652,10.0970748207202,5.69145623955453e-24,1.4976843273075e-22,"UP"
"FGF5",10.701290955795,1.01519403931514,0.246574599500586,4.1171882317616,3.83522826199494e-05,0.000124513666118068,"UP"
"IL21",16.2497031633762,1.88049148469296,0.139339661785864,13.4957373987522,1.65689035740095e-41,7.68403409313471e-40,"UP"
"CXCL9",5026.67130740374,2.15030040269633,0.129072329543988,16.6596543991523,2.57508110859744e-62,2.26510420895219e-60,"UP"
