	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-55-8091-01A	1203.80806729359	1930.37321007627	3134.18127736986
TCGA-73-4659-01A	678.971156188715	1230.14575491417	1909.11691110288
TCGA-75-5147-01A	478.305758236772	1729.64883087573	2207.9545891125
TCGA-86-8073-01A	582.766359825562	1138.44105383039	1721.20741365596
TCGA-05-4410-01A	185.108209191413	2021.20202714289	2206.31023633431
TCGA-86-8280-01A	918.629547291437	2166.71419058668	3085.34373787812
TCGA-86-6562-01A	978.550817153596	1145.43411853154	2123.98493568514
TCGA-38-4627-01A	2162.94962746865	1968.71229387209	4131.66192134074
TCGA-78-7536-01A	-286.95865712997	1174.47638940598	887.517732276007
TCGA-05-5715-01A	738.401000230968	1408.17781619752	2146.57881642849
TCGA-67-6215-01A	-524.345435235079	1183.30922136038	658.963786125299
TCGA-50-6593-01A	1026.53347808239	1596.8492450119	2623.38272309429
TCGA-69-7973-01A	44.4522540260684	512.335956379865	556.788210405934
TCGA-38-6178-01A	562.719932616066	994.10571828514	1556.82565090121
TCGA-67-3770-01A	249.934386814136	1768.8567172255	2018.79110403964
TCGA-35-3615-01A	-0.0816052230168745	1010.27258204251	1010.19097681949
TCGA-50-5936-01A	456.884113306011	1157.32204547223	1614.20615877824
TCGA-44-7671-01A	326.159894110731	344.769883053724	670.929777164455
TCGA-55-6984-01A	-602.689266103239	973.582505708745	370.893239605506
TCGA-50-5932-01A	-375.243631222759	525.934592705927	150.690961483168
TCGA-44-2657-01A	954.323959229478	2790.86285020364	3745.18680943311
TCGA-97-8175-01A	1.81072864842754	1680.68146906569	1682.49219771412
TCGA-78-7146-01A	-440.656090949017	799.737507810494	359.081416861477
TCGA-44-A4SS-01A	718.857598367149	2166.98564060908	2885.84323897623
TCGA-05-4405-01A	1063.83754012228	1321.43159757554	2385.26913769782
TCGA-44-2665-01A	1524.63060451197	1470.98160498011	2995.61220949208
TCGA-99-8033-01A	-22.1351759320045	1678.40231686002	1656.26714092802
TCGA-50-6591-01A	-868.958555155719	-903.792664116543	-1772.75121927226
TCGA-05-4402-01A	530.530017708566	1423.08091026789	1953.61092797646
TCGA-69-8453-01A	726.337615304575	2580.13480573236	3306.47242103694
TCGA-55-8614-01A	275.521905741214	888.496218425055	1164.01812416627
TCGA-05-4396-01A	-400.99284452163	361.970356423092	-39.0224880985378
TCGA-49-6745-01A	935.292798022031	2058.64237980154	2993.93517782358
TCGA-97-7554-01A	1241.21770075878	1434.44807456091	2675.66577531969
TCGA-73-4675-01A	441.208707625858	956.68742775366	1397.89613537952
TCGA-95-7039-01A	277.577826497563	930.310308323524	1207.88813482109
TCGA-97-7941-01A	316.0540639965	1338.56245760462	1654.61652160112
TCGA-55-7995-01A	186.642096694497	2454.72149174651	2641.36358844101
TCGA-69-7980-01A	415.779673974238	1665.37215463125	2081.15182860549
TCGA-97-8547-01A	1128.66065273834	1375.45429033978	2504.11494307812
TCGA-78-7166-01A	-758.032695811482	818.735810595962	60.70311478448
TCGA-55-8207-01A	1181.38100918978	1730.84958326553	2912.23059245531
TCGA-44-2668-01A	1213.1201059232	2289.02418713416	3502.14429305736
TCGA-MP-A4TE-01A	-963.341319992878	-186.467135542678	-1149.80845553556
TCGA-78-7153-01A	-450.680767078507	621.907443334027	171.22667625552
TCGA-86-8673-01A	191.438994609579	1159.21727476235	1350.65626937193
TCGA-55-6972-01A	-1600.43458180849	-355.607266874925	-1956.04184868341
TCGA-44-6779-01A	865.67420336285	2341.62026863865	3207.2944720015
TCGA-05-4403-01A	431.305006587163	1807.82893556117	2239.13394214833
TCGA-53-7626-01A	932.725069308771	2496.37568831255	3429.10075762132
TCGA-78-7154-01A	-212.694514835592	511.491895846429	298.797381010837
TCGA-62-A46O-01A	-1442.58507657243	-728.717643868577	-2171.302720441
TCGA-91-6840-01A	-67.1769136106338	1274.15728660156	1206.98037299092
TCGA-05-4418-01A	243.29748643027	1811.27181715532	2054.56930358559
TCGA-55-8507-01A	-43.0279946193047	867.013063629497	823.985069010192
TCGA-05-4434-01A	866.368156051858	2346.00947346133	3212.37762951319
TCGA-44-A47G-01A	1038.27953704364	2596.66958171596	3634.9491187596
TCGA-55-7815-01A	1115.26332500372	1728.64262084332	2843.90594584704
TCGA-49-4488-01A	-107.653074097795	1571.67526664365	1464.02219254585
TCGA-91-6831-01A	829.945549490417	1296.89009718686	2126.83564667728
TCGA-44-5645-01A	352.847306200843	1853.18283840486	2206.0301446057
TCGA-75-7030-01A	1124.61196449411	1762.25238270421	2886.86434719831
TCGA-44-2666-01A	-374.598736575402	736.329857722517	361.731121147115
TCGA-62-A472-01A	-356.46119406559	1516.30372691723	1159.84253285164
TCGA-05-4432-01A	118.170533631902	1481.37232764099	1599.54286127289
TCGA-50-5051-01A	-453.912438075112	373.231421517609	-80.6810165575028
TCGA-J2-A4AG-01A	639.456813979051	1970.95685098192	2610.41366496097
TCGA-93-7348-01A	719.221143570916	1337.75241751014	2056.97356108105
TCGA-97-A4LX-01A	1295.67971048007	2743.21883134692	4038.898541827
TCGA-78-7542-01A	-1078.14501310281	921.298922639571	-156.846090463243
TCGA-55-6543-01A	331.534914555782	1505.83816361833	1837.37307817411
TCGA-97-7938-01A	243.772677752775	958.124988905216	1201.89766665799
TCGA-86-8668-01A	958.233136022158	1647.2190781061	2605.45221412826
TCGA-69-8254-01A	-201.286128218148	1672.20098544008	1470.91485722193
TCGA-44-2661-01A	1250.4207337438	2860.21033557377	4110.63106931757
