	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-05-4425-01A	0.0101212232085253	0.00115845020817103	0	0.00747377990796095	0	0.154428527909368	0.0158302334848865	0.0232829001178469	0.0367759994424309	0.0224261651265431	0	0	0	0.218432381393156	0.0629384655935116	0.243998454897727	0.152487154804414	0	0.0475093230081533	0	0	0.00313694089730441
TCGA-62-8394-01A	0.0259952060689146	0	0.0142725693389005	0.0182578878942493	0	0.181081227099672	0	0.0264553256536992	0.056380350004907	0	0	0.0103600236445283	0	0.229213127696311	0.0999300743249701	0.151599072841703	0	0.134444745856447	0.0520103895756978	0	0	0
TCGA-49-6767-01A	0.0213736245995677	0	0.00681195888825026	0.190771410627245	0	0.0698982389798136	0.0759449668152056	0.0156863332344744	0.0351725009792994	0	0.0137291885070306	0.0134483376079504	0	0.344333165371312	0.0837092070177267	0.0980527646770153	0.00890816850093817	0	0.0221601341941704	0	0	0
TCGA-55-8204-01A	0.00926831063373661	0	0.276627680125222	0.0126255449628576	0	0.11106027732701	0.0815169001981019	0.00125429556867577	0	0	0	0.0412266291971323	0.00384821778872258	0.0469760578382848	0.141472581804618	0.040009558074319	0.0697216737594252	0	0.130641401730937	0	0	0.0337508709909574
TCGA-MN-A4N1-01A	0.016271719798823	0	0.0334179261775768	0	0	0.0691654258888775	0	0.0274999491219935	0.114857167492787	0	0.000256529297875169	0	0.0367865790295147	0.345759248852519	0.0060597369637653	0.160519662591762	0.0677838642191396	0.0886932234825411	0.0125828590936716	0	0.0203461079891533	0
TCGA-35-4123-01A	0.0129443485835896	0	0.0236187713410294	0.313524944966438	0	0.0422811383950553	0.0873963947215727	0.065799888866574	0.0215313249864815	0	0	0.00627442962229718	0.00683088044212999	0.100022643012198	0.0673716892874348	0.168239601360566	0.0481796336791731	0.00260308057287469	0.00778096549123488	0.0124762258597343	0.0131240388116161	0
TCGA-55-1594-01A	0.086844384159011	0	0.133189326838823	0.105997630028266	0	0.148705334028072	0.0118820516821363	0.0216953994371167	0.0115489308177417	0	0	0.0337413598391269	0	0.101902947060516	0.0990901609755511	0.131853779946378	0.065762903096073	0	0.0283630985379721	0	0	0.0194226935532168
TCGA-MP-A4SV-01A	0.0139948019463736	0	0.0580611472076413	0.174862395444496	0	0.116477454394124	0.0326261084428586	0.0349671128979279	0.08325935403634	0	0.0507423504991275	0.0215810886627909	0.00907354393663669	0.103913953895186	0.132167679922707	0.0928282419816571	0.0164728133802991	0.0150234917542385	0.0439484615975948	0	0	0
TCGA-75-6214-01A	0.0326812117378677	0	0.00872533769388483	0.0905620113855278	0	0.182544533923679	0.0281003786567505	0.0554279620842461	0.0231524074927207	0	0.00194605486893682	0.00716264032290893	0	0.214491786744891	0.0858333275976236	0.134075590862183	0.0530332783441044	0.0286206273793858	0.0171169768153384	0	0	0.0365258740899518
TCGA-44-6777-01A	0.000624758496252783	0.00100145991483742	0.072132200845028	0.0411368724912799	0	0.0882729777064975	0.00347157416406363	0.0201529512312784	0.0279881852169403	0	0	0.0373418412040509	0.0164367070420814	0.104216389010526	0.0620905704013072	0.296105229057035	0.105880966778743	0.0156609374827846	0.0836317302465787	0	0	0.0238546487107146
