"gene","HR","z","pvalue","lower","upper"
"BPIFB2",0.944753077550267,-1.76318075931832,0.0778700078205685,0.886914965509878,1.0063629685486
"LY86",0.895975069906158,-1.76200545236812,0.0780683762719324,0.792925480626697,1.01241711296611
"DLX2",1.31789105791111,1.75891970399182,0.0785911479088689,0.968942015578206,1.79250854292412
"LMLN2",0.765277566027023,-1.75011721634263,0.0800980895784984,0.56716229132862,1.03259642260827
"AMBP",0.930174109799836,-1.74574833601811,0.0808546919325067,0.857573013114492,1.00892152774216
"AC136428.1",0.911409530902087,-1.72306606918412,0.0848765779239372,0.820140578737462,1.01283530476922
"CENPVL3",1.3269088904398,1.71970334544101,0.0854863794148306,0.961253216826636,1.83165806127621
"MCEMP1",0.921756134072834,-1.71529241883251,0.0862916278155289,0.839817379303947,1.01168943586889
"NLRP3",0.859064806157743,-1.70989814624841,0.087284709307549,0.721777613083948,1.02246499171069
"FAM166A",0.705607374260733,-1.70862152366988,0.0875210790880411,0.472987300365201,1.05263241999669
"IL21R",0.863793019098819,-1.70587651537105,0.0880310731173235,0.730041769164576,1.02204889002132
"B4GALNT2",1.0893620648341,1.70247626006316,0.0886661250522314,0.987138193097165,1.20217180998367
"TFEC",0.870819990024598,-1.69694182773383,0.0897076590684147,0.742242496090194,1.02167075992142
"IL10",0.754427807697875,-1.68330073194439,0.0923168888021937,0.543401601073925,1.04740456395967
"RXFP2",0.494415171318358,-1.67933510291506,0.093086753391725,0.217302204450023,1.12491432035141
"CYSLTR2",0.792285823170561,-1.67382371581148,0.0941652499717476,0.603222624360414,1.04060557453827
"PLEK",0.903926424051546,-1.67025663255346,0.0948685994930644,0.802892520402114,1.01767417099538
"STXBP5L",1.22950313108185,1.66873753725215,0.0951694064744148,0.964584926422067,1.56717973496366
"CHRNA5",1.11625983019864,1.66260857822758,0.0963908128675172,0.980521764643166,1.27078873049653
"MAGEA9B",1.13033654780008,1.65770116318013,0.0973777989390377,0.977908390725252,1.30652392740494
"KLK12",0.944899843768925,-1.65364510150434,0.098199643132641,0.883511182096948,1.01055394979321
"CLEC4A",0.749215838271917,-1.64762324227008,0.0994300079476287,0.531426341652006,1.05625997117972
"FOXG1",1.18322475247698,1.64693061148853,0.0995723090311134,0.968527713312945,1.44551446038163
"CLC",0.875802039177135,-1.64548214195802,0.0998704224043455,0.747832997829357,1.02566911871125
"UCHL1",1.0525430062556,1.63739601026042,0.101547751327167,0.98996248357585,1.11907955947575
"SLC16A14",1.06890088177613,1.63413383796433,0.102230751114262,0.986802318541574,1.15782976346306
"CD53",0.898942302203306,-1.63403075378634,0.102252393248845,0.79110606908226,1.02147776925543
"FOLR2",0.917201900150359,-1.6288900322517,0.103336300584944,0.826610360823438,1.01772172901559
"TLR4",0.872206830782174,-1.61642795333611,0.106001818711323,0.738956631586127,1.02948498348298
"FGB",1.03440013588234,1.61633774372406,0.106021310589529,0.992835449404111,1.07770491248634
"TMEM236",0.811070782247862,-1.60473614589009,0.108551883675876,0.628038929621112,1.04744432676016
"SP9",1.17502831649178,1.60417304851318,0.108675913737028,0.964859149213478,1.43097730449363
"PI16",0.873940614634552,-1.58801376625248,0.11228322625093,0.740043986409826,1.0320632447986
"NYX",5.39577822962567,1.57659439699242,0.114888882820733,0.663730010532241,43.8648580617224
"FGL2",0.908547557755073,-1.57469258443455,0.115327420332638,0.806314523130185,1.02374277161498
"ITLN2",0.88671135763125,-1.56724427689842,0.117057604686428,0.762921468658314,1.03058711027621
"PAGE4",0.584585668128773,-1.56308128432093,0.118033477138512,0.298192444966201,1.14603977783642
"GABRA1",2.2221507975782,1.55233559373127,0.120581945455336,0.810850162872891,6.08984790689558
"SCN4A",0.843768144785037,-1.547195281658,0.12181616340081,0.680399016038295,1.04636347991707
"SLC38A8",0.853888040036567,-1.5445640275066,0.122451752936085,0.698799538769634,1.04339620229465
"MAGEA4",1.05596560924102,1.51046359907104,0.130925170902859,0.983925100511096,1.13328074191882
